"gtdb_species_name","number_of_records","staphyloferrin.A","staphyloferrin.B","staphylopine","Others"
"CAG-313 sp000433035","0",0,0,0,""
"Duncaniella sp023665865","0",0,0,0,""
"UBA970 sp945870555","0",0,0,0,""
"Staphylococcus lugdunensis","1",0,0,0,"True"
"Staphylococcus hominis","1",75,0,0,""
"Staphylococcus americanisciuri","1",100,0,0,""
"Staphylococcus auricularis","1",100,0,0,""
"Staphylococcus borealis","1",100,0,0,""
"Staphylococcus caledonicus","1",100,0,0,""
"Staphylococcus canis","1",100,0,0,""
"Staphylococcus capitis","1",100,0,0,""
"Staphylococcus carnosus","1",100,0,0,""
"Staphylococcus cohnii","1",100,0,0,""
"Staphylococcus condimenti","1",100,0,0,""
"Staphylococcus croceilyticus","1",100,0,0,""
"Staphylococcus debuckii","1",100,0,0,""
"Staphylococcus devriesei","1",100,0,0,""
"Staphylococcus gallinarum","1",100,0,0,""
"Staphylococcus haemolyticus","1",100,0,0,""
"Staphylococcus kloosii","1",100,0,0,""
"Staphylococcus massiliensis","1",100,0,0,""
"Staphylococcus microti","1",100,0,0,""
"Staphylococcus muscae","1",100,0,0,""
"Staphylococcus nepalensis","1",100,0,0,""
"Staphylococcus petrasii","1",100,0,0,""
"Staphylococcus piscifermentans","1",100,0,0,""
"Staphylococcus pragensis","1",100,0,0,""
"Staphylococcus rostri","1",100,0,0,""
"Staphylococcus saccharolyticus","1",100,0,0,""
"Staphylococcus saprophyticus","1",100,0,0,""
"Staphylococcus simiae","1",100,0,0,""
"Staphylococcus simiae_A","1",100,0,0,""
"Staphylococcus simulans","1",100,0,0,""
"Staphylococcus simulans_A","1",100,0,0,""
"Staphylococcus simulans_B","1",100,0,0,""
"Staphylococcus sp001431205","1",100,0,0,""
"Staphylococcus sp013463155","1",100,0,0,""
"Staphylococcus sp022346615","1",100,0,0,""
"Staphylococcus sp022815905","1",100,0,0,""
"Staphylococcus sp025558425","1",100,0,0,""
"Staphylococcus sp025558585","1",100,0,0,""
"Staphylococcus sp943737015","1",100,0,0,""
"Staphylococcus succinus","1",100,0,0,""
"Staphylococcus taiwanensis","1",100,0,0,""
"Staphylococcus argensis","2",75,0,0,"True"
"Staphylococcus marylandisciuri","2",75,0,0,"True"
"Staphylococcus pettenkoferi","2",75,0,0,"True"
"Staphylococcus sp943908435","2",75,0,0,"True"
"Staphylococcus arlettae","2",75,100,0,""
"Staphylococcus equorum","2",75,100,0,""
"Staphylococcus equorum_A","2",75,100,0,""
"Staphylococcus equorum_C","2",75,100,0,""
"Staphylococcus durrellii","2",100,0,75,""
"Staphylococcus caeli","2",100,0,100,""
"Staphylococcus caprae","2",100,0,100,""
"Staphylococcus chromogenes","2",100,0,100,""
"Staphylococcus edaphicus","2",100,0,100,""
"Staphylococcus epidermidis","2",100,0,100,""
"Staphylococcus felis","2",100,0,100,""
"Staphylococcus lloydii","2",100,0,100,""
"Staphylococcus pasteuri","2",100,0,100,""
"Staphylococcus pseudoxylosus","2",100,0,100,""
"Staphylococcus shinii","2",100,0,100,""
"Staphylococcus sp013391405","2",100,0,100,""
"Staphylococcus warneri","2",100,0,100,""
"Staphylococcus warneri_A","2",100,0,100,""
"Staphylococcus xylosus","2",100,0,100,""
"Staphylococcus xylosus_B","2",100,0,100,""
"Staphylococcus ureilyticus","2",NA,0,0,""
"Staphylococcus ratti","3",75,100,100,""
"Staphylococcus agnetis","3",100,100,100,""
"Staphylococcus argenteus","3",100,100,100,""
"Staphylococcus aureus","3",100,100,100,""
"Staphylococcus coagulans","3",100,100,100,""
"Staphylococcus cornubiensis","3",100,100,100,""
"Staphylococcus delphini","3",100,100,100,""
"Staphylococcus hyicus","3",100,100,100,""
"Staphylococcus intermedius","3",100,100,100,""
"Staphylococcus lutrae","3",100,100,100,""
"Staphylococcus pseudintermedius","3",100,100,100,""
"Staphylococcus schleiferi","3",100,100,100,""
"Staphylococcus schweitzeri","3",100,100,100,""
"Staphylococcus singaporensis","3",100,100,100,""
"Staphylococcus sp010365305","3",100,100,100,""
